CORE_0,PACKAGE-0_0,PSYS_1,UNCORE_0,duration_ms,measure_count,measure_delta,expected_frequency
198791,239135,381957,610,14,2,14.626,0
204223,242614,383361,0,13,3,6.854,10
176269,212585,333251,0,13,3,6.918,20
192321,228332,360839,0,13,3,6.786,30
208739,252075,398253,2685,13,3,7.007,40
187378,223877,356078,0,13,3,6.933,50
197814,235473,374633,0,13,3,6.831,60
184448,220092,349059,0,13,3,6.795,70
204895,249572,407347,4273,14,4,4.683,80
189331,226684,362364,0,13,4,4.542,90
183533,219787,346801,0,13,4,4.491,100
207519,247375,389220,0,13,4,4.526,110
192260,235657,374389,2076,14,4,4.713,120
187561,227111,358947,0,13,4,4.517,130
182983,219787,345153,0,13,4,4.502,140
199096,238342,374694,0,13,4,4.498,150
204406,244445,389831,0,13,5,3.455,160
198913,237121,385131,0,13,5,3.466,170
197814,235290,373168,0,13,5,3.418,180
183471,220336,359191,0,13,5,3.474,190
198730,240172,388183,2319,14,5,3.545,200
255553,296264,453552,0,14,5,3.543,210
192139,231201,369384,0,13,5,3.436,220
192688,238159,380065,6958,14,6,2.815,230
222289,279785,447752,13061,14,6,2.945,240
219421,265014,417906,3662,14,6,2.908,250
202025,251525,397155,9033,14,6,2.858,260
204528,245849,387999,732,14,6,2.903,270
207031,259582,414122,10498,15,7,2.501,280
225891,271483,426940,2563,14,7,2.423,290
202087,244689,384520,2807,14,7,2.423,300
216064,267089,417419,7446,14,7,2.428,310
223572,279784,445128,11352,14,7,2.446,320
220764,270507,425475,6836,14,7,2.393,330
220093,266906,414488,3418,14,7,2.433,340
200989,242248,380248,977,14,7,2.349,350
246886,310302,492614,13428,16,8,2.297,360
218017,269286,421813,9765,14,7,2.422,370
223083,274535,427917,7691,14,8,2.13,380
231201,280090,436584,5860,14,8,2.029,390
225524,279174,433715,9399,14,8,2.087,400
200988,246215,386291,5615,14,8,2.032,410
215209,265807,416198,6958,14,8,2.063,420
210693,255188,395446,3662,14,8,2.008,430
209106,268249,431212,14527,14,9,1.852,440
217834,266357,416808,4517,14,9,1.807,450
222778,274292,430113,6713,14,9,1.779,460
215880,258971,405516,1953,14,9,1.792,470
228087,285216,450682,8912,15,10,1.666,480
293456,345886,526549,4272,15,10,1.739,490
210082,255858,403381,5616,14,9,1.77,500
229247,276123,425964,3296,14,10,1.59,510
226684,284423,448302,12329,15,10,1.707,520
202331,247252,387267,4761,14,10,1.598,530
216735,262023,400450,3784,14,10,1.565,540
220275,268066,421325,4761,14,10,1.658,550
234435,295531,464903,14771,14,10,1.637,560
207641,257385,394164,8423,14,10,1.571,570
209411,251769,393249,3174,14,11,1.413,580
221252,263611,410155,1831,14,11,1.42,590
216979,276549,442381,14038,15,11,1.499,600
229308,278625,435729,4395,14,10,1.589,610
205626,252013,390502,5005,14,11,1.459,620
251708,298278,449523,2930,14,11,1.449,630
245178,305907,486082,11841,15,12,1.424,640
211486,256286,400390,5249,14,12,1.292,650
212463,260803,411132,5615,15,12,1.361,660
223815,271057,425170,4516,14,12,1.303,670
218262,272033,435241,8911,14,12,1.353,680
206603,259155,407287,11597,14,12,1.337,690
226867,274658,429686,3906,14,12,1.327,700
299682,371092,575987,15381,17,15,1.238,710
204590,254943,400329,10254,14,13,1.244,720
222289,274840,430663,10986,14,13,1.211,730
227661,279540,433958,9034,14,12,1.305,740
208373,253905,397948,6470,14,13,1.199,750
221374,267822,421020,5616,14,13,1.218,760
211669,258483,405516,6470,14,13,1.189,770
223510,288024,454893,20019,14,13,1.215,780
230956,283203,440246,9155,14,14,1.107,790
222106,268493,421873,4028,14,14,1.128,800
223388,274841,428282,8789,14,14,1.118,810
238647,298217,469786,14526,14,14,1.137,820
225647,273741,421446,5860,14,13,1.184,830
223327,271972,420837,6103,14,14,1.11,840
212768,259581,397643,5127,14,14,1.115,850
223693,285949,455565,15869,15,15,1.1,860
234192,285827,439940,6714,14,14,1.113,870
231323,285156,447814,10254,14,15,1.067,880
213012,257324,407165,4150,14,15,1.024,890
210876,266540,418212,14282,14,15,1.048,900
229858,283019,443114,9643,14,15,1.053,910
215332,262206,408996,3540,14,15,1.046,920
221313,279968,464477,12817,15,16,1.018,930
220702,263854,410400,2197,14,16,0.957,940
236938,283629,442748,2808,14,15,1.048,950
219360,276733,466796,10742,15,17,0.982,960
225769,270568,423278,1953,14,16,0.987,970
220092,263000,409667,2564,14,16,0.955,980
243041,298888,471861,8789,14,16,0.98,990
217407,263611,413390,4029,14,15,1.035,1000
